iteration,r1c1,r1c3,r1c4,r1c5,r1c6,r2c1,r2c2,r2c3,r2c4,r2c6,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c1,r5c5,r5c6,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,99.99999999999999,50.02403846153871,44.97596153846181,44.97596153846179,50.02403846153869,94.9250033408602,64.41846474863695,50.5198518885992,46.195812292378555,48.15341454057187,90.5150349093243,64.88327078121125,50.02887115421901,46.40105708190433,49.60722729366492,47.72321844417953,86.6421178486637,64.91556094405203,50.509503215303106,45.55552250202518,48.5398431802216,48.39315591857061,85.49944805005194,46.79065379541643,47.62447748418885,82.10398210164138,63.738636544825546,52.31658760869914,46.6840929764817,46.27221379643411,46.891826119117155
2,99.99999999999994,95.01955052845392,93.82687299353991,76.98920014060317,78.02441731409564,98.38057571758206,95.86766385395423,94.51647482425733,94.26796513781761,75.8046614872366,96.92204787171227,95.54898145543194,93.25605605665295,92.14198637015525,90.5578266961573,88.01991214298323,95.5139652984356,94.4022304999431,93.17304784191296,90.91577196608263,89.51591208038899,89.3277970948507,94.26067396054985,87.25174893750871,88.05276186896238,92.87236753052326,91.65201382066637,90.44687649123162,89.25676581178983,85.80726346508577,86.77325913791532
3,99.99999999999994,95.0195505284539,93.83751784946807,92.6051298463575,93.28355830082013,98.38057571758206,95.86766385395423,94.51647482425733,94.36484407914378,86.71093740175154,96.92204787171227,95.54898145543194,93.25605605665295,93.10991667913781,92.83445069542724,89.06839873258174,95.5139652984356,94.4022304999431,93.17304784191296,91.02212612877881,89.9069299666948,89.78537454445564,94.26067396054987,87.64439852378474,88.49812662937133,92.87236753052329,91.6520138206664,90.44687649123166,89.25676581178988,88.0334672328438,87.40935576749571
4,99.99999999999994,95.0195505284539,93.83778076461205,92.6053894832578,93.28379411782133,98.38057571758206,95.86766385395424,94.51647482425734,94.36723687252483,90.87377174727493,96.9220478717123,95.54898145543198,93.256056056653,93.13382339410522,93.05679031774643,91.72424425659244,95.51396529843564,94.40223049994314,93.173047841913,91.02475294873642,91.73919139553715,91.68447395916228,94.26067396054991,89.46034825500514,90.36701204539628,92.87236753052332,91.65201382066644,90.44687649123169,89.2567658117899,88.23300000020323,89.07407385124748
5,99.99999999999994,95.01955052845392,93.83778385198505,92.60539253213487,93.2837968869849,98.38057571758205,95.86766385395423,94.51647482425734,94.36726497073762,90.87377448191027,96.92204787171228,95.54898145543197,93.256056056653,93.13410412706348,93.05940121849123,91.74121646844476,95.51396529843562,94.40223049994313,93.17304784191299,91.07065223420999,91.76070736592244,91.83502050192516,94.2606739605499,89.49421069598287,90.50306669969706,92.8723675305233,91.6520138206664,90.44687649123165,89.25676581178986,88.4989003650178,89.222885640729
