iteration,r1c1,r1c3,r1c4,r1c5,r1c6,r2c1,r2c2,r2c3,r2c4,r2c6,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c1,r5c5,r5c6,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6
10,9.561792499119552,8.639022277563852,7.527147244662766,7.410363988448399,8.575735797444004,7.944060122823188,5.437307195307392,7.310301280104048,7.96537397322342,6.225825444780429,6.49169118136377,5.135504811558311,5.158966480460449,6.7833711029187125,7.794458288506938,6.790845550731768,5.103677786538121,4.048456821959517,4.093238074238062,4.679466527912236,6.628813041363166,7.708466070544125,3.8784534345260555,4.630243852538704,6.44388028308896,2.592488311743058,1.536854924473434,2.361575666057462,3.332378527274025,4.3269067634408085,5.299531637883365
11,10.466174574128356,9.442556426531006,8.325865244401303,8.209234821288433,9.374606630378999,8.847695023797613,6.33840400595567,8.118971079515122,8.725317503203515,7.024696189642176,7.392788020575251,6.030510053349531,5.969727329375632,7.54096523892072,8.517058413208893,7.502705824514626,5.997480741881373,4.927814480971025,4.899965864161979,5.433912973956143,7.349616291744675,8.4153429854192,4.760046586974351,5.346358218186766,7.151443417298086,3.4305401005300693,2.307548017946242,3.0568357754804056,4.036721105045378,5.033986968185597,6.006570585937551
12,11.361512828387072,10.237578435234854,9.116571781825433,9.000116945875275,10.165488754975243,9.742634066655233,7.231896950718923,8.919813119219315,9.481267680386065,7.815578296809317,8.286280968166261,6.920443742501342,6.7738011489107315,8.294643251053051,9.234833698541541,8.224074141592519,6.886692339357987,5.805011176251121,5.703835062903291,6.185153102659969,8.066586603239601,9.115712419391466,5.6424939717909695,6.058178464974783,7.8522340063650065,4.288027620612842,3.123882267173171,3.75233659874106,4.736188457601978,5.734858077513405,6.706958384358276
13,12.247897700103202,11.024222992194973,9.899348227464941,9.783090249223696,10.948462058324594,10.628796730802602,8.117247909419751,9.712765419185398,10.232874291120734,8.598551596708639,9.171631927147036,7.803388431357714,7.570785602783582,9.044018852763537,9.949341311116811,8.940186070148778,7.769213174832982,6.677453656884929,6.5018767735494984,6.932629199782164,8.778773975927992,9.811198742805837,6.521474139186138,6.7658674244284045,8.54677507082068,5.152634304549264,3.964646564425659,4.4440239049714965,5.4297729119958085,6.429421658118086,7.400709162766382
14,13.12541872310217,11.80261816056475,10.674274639158401,10.55823381953937,11.723605628640358,11.506193397863749,8.99415000853263,10.497846707671927,10.979829779510242,9.37369516634139,10.048534026287632,8.678607941364616,8.36040353312284,9.78892900304376,10.660314605772836,9.652443602016447,8.644152502640525,7.543121542525175,7.29346040021464,7.675647355586994,9.487517284720726,10.5016785572582,7.394468714026577,7.468740595964629,9.236421011331881,6.017618324263939,4.8158863889592975,5.130296879485037,6.117196989804695,7.117695276083078,8.08822880735754
15,13.994164535871148,12.572885970339872,11.441429920615478,11.32562595415196,12.490997763252958,12.374865625930163,9.862508208147917,11.275097582183525,11.721882345950124,10.14108730081876,10.916892225905661,9.545628832374527,9.142580749972597,10.529076281122784,11.367665055673047,10.360631166408446,9.510979079291207,8.402120000996383,8.078097719146394,8.414148561219259,10.192524433143761,11.187327014069979,8.260273587468557,8.167924688621168,9.921140416470848,6.87893618811815,5.669499217830981,5.810618798063357,6.798419662639128,7.799934366759895,8.77063192523547
16,14.854222890512437,13.335142961713759,12.200893602899173,12.08534416741843,13.25071597651943,13.23487832198368,10.72229914274841,12.044580353364886,12.458810931964587,10.900805514058456,11.776683160506426,10.40437683562257,9.917273091325585,11.264245152751418,12.071271761398647,11.064703741267039,10.369575451865755,9.259522565302357,8.855734541637645,9.147820007725972,10.893736806046688,11.868258381848474,9.11822960111741,8.863296796453968,10.601180440547532,7.734431786464062,6.520678306120109,6.484850894826734,7.473635111676385,8.477158531269216,9.448029272752452
17,15.705680661607312,14.089500845573976,12.95274397462881,12.837465198552238,14.002837007653236,14.086305098294329,11.5735645528698,12.806363123073885,13.190426994925362,11.652926545186965,12.627948570627844,11.255333412218116,10.684501216714015,11.994244198535652,12.771013175535556,11.764584560722513,11.220413766820734,10.109429798569245,9.626807203059666,9.876479824399873,11.591038995595596,12.544583172423634,9.968113218898925,9.554822796852125,11.27664388488714,8.58289374325082,7.366764279491319,7.153119485623391,8.143689308877143,9.149544261464536,10.120728501511788
18,16.54862385499124,14.836066906894667,13.697058595680453,13.582065019374706,14.747436828475706,14.929226179458238,12.41641453639281,13.56051983292631,13.91657000912417,12.397526366008384,13.470798554150859,12.097951708729717,11.444347776939141,12.718914104813596,13.46676648219072,12.46019589706761,12.06298978091086,10.951679261189968,10.390730016311442,10.600008178907109,12.284327671709688,13.216391488674875,10.810254120664007,10.2424180860039,11.947625074051706,9.423761813619418,8.20627117199393,7.816119590784129,8.808889538237585,9.817349311970686,10.788858960365271
19,17.383137616441328,15.574944415015512,14.433914222136233,14.319218841988949,15.484590651089949,15.763728524022318,13.250869392398057,14.307130460266755,14.637104744575254,13.13468018862242,14.305253410156102,12.932313740848175,12.196801423218428,13.438123758880199,14.158410944081288,13.151456921508691,12.897324690055463,11.78580137250345,11.147540495905409,11.31821068212646,12.973502620985666,13.883756335171315,11.644318222372874,10.92600178883958,12.614196331876006,10.257094529141614,9.038461048441377,8.474232193259425,9.469500783651824,10.480693269008778,11.45253367761021
20,18.209306240276913,16.306232981770307,15.163386854396723,15.04900112637705,16.21437293547805,16.589890185947148,14.077008121217052,15.046265416252641,15.35191871782423,13.864462473010478,15.131392138975098,13.758391106568881,12.94192063700438,14.151752982066274,14.845829955070881,13.83828668356796,13.723390181036963,12.611774550745736,11.897163920597356,12.030977285605335,13.65845620242486,14.546734689540767,12.470256162553754,11.605493689771489,13.276414631406523,11.082560034300032,9.86323415467155,9.12774259491761,10.125670224218013,11.139669483394274,12.111832962561076
21,19.027213177874142,17.03002888534262,15.885551773211958,15.77148558792127,16.93685739702227,17.407793474708573,14.894897550820948,15.77800027862717,16.060918468326626,14.58694693455469,15.949281568578996,14.576252058592594,13.679746474446972,14.859706933132241,15.528911251313927,14.520605843508712,14.541243882514765,13.429571423455421,12.639633576306226,12.738194753975689,14.339090809955602,15.205369304298763,13.288035743566919,12.280806236117114,13.93432279791291,11.900076505450759,10.680307909790592,9.776823851374353,10.777500935243431,11.794342860491783,12.766819130223546
22,19.8369410460954,17.746425362388262,16.600483431103672,16.486745204850045,17.652117013951045,18.217519248403743,15.704616243301132,16.502408663086964,16.764028038842767,15.302206551483465,16.759000261059175,15.385953430767925,14.410336160853479,15.561904541765017,16.207548675928084,15.198337018687122,15.350941717605613,14.239241679674446,13.37496805932768,13.439781605280656,15.015310552809801,15.859690424505361,14.097696232177942,12.95185769585381,14.587950263373592,12.709582366013892,11.489561558455538,10.421591863284918,11.42506473068769,12.444760511701329,13.417538693027844
