iteration,r1c1,r1c2,r1c3,r1c5,r1c6,r1c7,r1c9,r1c10,r2c3,r2c5,r2c7,r2c9,r2c10,r3c1,r3c2,r3c3,r3c4,r3c5,r3c7,r3c8,r3c9,r3c10,r4c1,r4c5,r4c9,r4c10,r5c1,r5c2,r5c3,r5c5,r5c6,r5c7,r5c9,r5c10,r6c1,r6c3,r6c7,r6c9,r7c1,r7c3,r7c4,r7c5,r7c7,r7c8,r7c9,r7c10,r8c1,r8c3,r8c5,r8c7,r8c10,r9c1,r9c2,r9c3,r9c5,r9c6,r9c7,r9c8,r9c10,r10c1,r10c3,r10c4,r10c5,r10c7,r10c8,r10c9,r10c10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-5.00000000000001,-5.000000000000009,-5.000000000000007,35.38654633475787,28.859934853420278,25.753518811822094,50.02403846153867,44.97596153846178,-5.000000000000007,33.69843478444916,25.370058477510096,47.777155668521225,44.729078745444326,-3.514992968176793,-3.3649922578916183,-3.049839250423778,13.063585687954529,31.001615241277733,25.956805230298126,33.777729275864786,45.51559567252888,44.263567522721715,-3.5335092653316957,30.55271729562589,43.69605080981645,43.654444515169175,-2.602668824870596,5.0862093629726886,13.793896577378868,29.422732138379253,23.859894530747475,21.212197784807348,43.214413933945046,44.2314617485844,-2.6325607347849274,12.375020061451451,20.885362400956883,42.613236702848475,-2.6620799276180325,11.822783375488822,9.10416093581695,7.810201216934662,21.50073944036582,29.100598123351023,40.14496166728077,36.00322206477795,-2.6912310507150643,11.613022984273249,8.95969995487812,19.985767626894923,35.491959944269496,-1.9990768638423255,3.841280180246417,10.574695828400452,9.256436600862159,13.070373869831657,18.709601428683136,16.534408637060835,34.98707266316888,-3.221033511425339,10.2220771811589,8.938711556878914,9.063296594909925,19.460790610540975,17.335030389700755,23.870307865707233,33.3217780554215
2,-5.000000000000016,-5.000000000000016,-5.000000000000015,78.02441731409559,76.98920014060313,75.36290212263175,77.03648210948765,75.77131886557778,71.61323319020167,75.80466148723656,70.46998283973264,74.71693484781973,73.80873199162983,71.10340018428334,71.61323319020167,72.58057199310826,73.68104202015225,74.6744895204067,71.42288666346664,72.50693507910341,73.48555799676886,72.54100024711511,74.71194827676334,73.68104202015225,71.34732051048141,71.54923077275565,75.71841227015682,76.98920014060312,78.02441731409559,72.58057199310826,71.61323319020168,70.31366747663039,72.8651567355355,74.15939308718167,74.71194827676332,75.80466148723654,67.52458292731569,71.89426949444406,73.7180337097214,74.67448952040668,73.68104202015223,71.74540488776539,68.44029735821614,69.74456977940773,70.68831434732955,69.62970201584334,69.3413441701677,73.68104202015223,64.01236892844503,66.3400442739491,68.69915710292759,70.27999750564962,71.61323319020165,72.58057199310825,63.557979647238525,64.36600641271023,65.24183982701213,64.42717300187992,67.78021499441229,68.1568055168011,71.49549365698915,70.54168450914639,63.564424691474365,68.43066186123121,64.92268415858794,65.86748522689598,66.76227670703356
3,58.69097879822336,65.12441100006409,78.64111704029509,88.46281908990031,87.29744728079932,86.0065318112358,87.23874438870727,85.94972867039486,81.38678000542869,86.11290862743274,84.87178702555954,84.89534465263681,84.82444420373336,83.37017430589529,81.38678000542869,82.47752217721441,83.71837911759185,84.83856067210691,81.82400742342213,82.53929769314766,83.64459185593994,83.69786282252484,84.73388362256846,83.71837911759187,81.61462579051906,83.71980896316406,85.86688720366149,87.29744728079915,88.46281908990015,82.47752217721444,81.38678000542873,80.17853390588589,83.59842479795282,85.10315646786543,84.73388362256844,86.11290862743257,79.11645742326886,82.49370628426263,83.61500726817233,84.83856067210677,83.71837911759172,82.63888661090974,78.75653100727409,80.04768271575287,81.12151709347702,79.91698108567158,82.51008199051434,83.71837911759174,82.85535934643457,76.52764658074948,78.85816586016446,80.30439247649367,81.38678000542858,82.47752217721431,82.27836836691047,83.66005494090031,84.779500079043,83.79657247250736,77.81255281951404,78.05620803164962,81.25402044510147,80.17853390588574,79.46388160020604,86.17587621858036,84.90250237502094,75.63616415517633,76.65429754097401
4,78.06762378956226,79.11645742326887,80.1785339058859,88.46281908990038,87.29744728079939,86.00653181123589,87.23874438870754,85.94972867039512,81.38678000542876,86.11290862743282,84.8717870255596,84.89534465263706,84.82444420373362,83.47882335898422,82.37559613505675,82.47752217721448,83.71837911759192,84.83856067210698,83.6180308500165,82.53929769314792,83.64459185594019,83.6978628225251,84.73388362256838,83.71837911759194,82.92991726396791,84.91726363292153,85.86688720366142,87.29744728079909,88.4628190899001,82.47752217721451,81.3867800054288,80.17853390588594,84.79424114096942,86.30100091430488,84.7338836225684,86.11290862743252,79.11645742326891,83.67461219906208,83.61500726817229,84.8385606721067,83.71837911759165,82.76218575825158,80.3685322997618,81.19557455648388,82.28390251805564,81.06310884148046,82.5100819905143,83.71837911759167,83.97750613183922,83.62735319316101,79.99000274620016,81.41540084020504,81.3867800054285,82.47752217721424,83.57439278137016,84.8118918465276,85.94588037994336,85.04601870288796,78.93027702617273,79.15336342324488,81.25402044510142,80.1785339058857,82.21819527139606,87.34841822670607,86.07048067384807,84.93493852080756,78.6585330946601
5,78.06762378956213,79.11645742326873,80.17853390588576,88.46281908990024,87.29744728079923,86.00653181123572,87.2387443887073,85.94972867039489,81.38678000542862,86.11290862743266,84.87178702555947,84.89534465263685,84.8244442037334,83.4788233589843,82.37559613505682,82.47752217721434,83.71837911759178,84.83856067210684,83.61902431688,82.54833924510883,83.65374756891072,83.7813032197632,84.73388362256846,83.7183791175918,82.93167899321995,84.91822372687434,85.86688720366149,87.29744728079915,88.46281908990015,82.47752217721435,81.38678000542863,80.41704137916828,84.79519992134635,86.30187292624369,84.73388362256844,86.11290862743256,81.28711634677917,83.67555902457146,83.61500726817232,84.83856067210674,83.7183791175917,83.12917709969591,82.37660013903648,81.19649491200347,82.28483449422573,81.06402778259388,82.51008199051431,83.7183791175917,84.1682689825561,83.62735319316101,79.99091022919497,81.41540084020507,81.38678000542855,82.47752217721427,83.60819611617951,84.8118918465276,85.94588037994336,85.04601870288796,78.93117319391823,79.1533634232449,81.37499150157528,81.27949271278406,82.3688802470364,87.34841822670607,86.07048067384807,84.93493852080756,83.27708929486958
6,78.06762378956213,79.11645742326873,80.17853390588576,88.46281908990024,87.29744728079923,86.00653181123572,87.2387443887074,85.94972867039499,81.38678000542862,86.11290862743266,84.87178702555946,84.89534465263694,84.82444420373349,83.4788233589843,82.37559613505682,82.47752217721434,83.71837911759178,84.83856067210684,83.61902431688,82.54833924510889,83.65374756891079,83.78130321976315,84.73388362256846,83.7183791175918,82.93167899321988,84.91822372687427,85.86688720366149,87.29744728079915,88.46281908990015,82.47752217721435,81.38678000542863,80.41825333010371,84.79519992134627,86.3018729262436,84.73388362256844,86.11290862743256,81.29814632448448,83.67555902457138,83.61500726817232,84.83856067210674,83.7183791175917,83.12917709969591,82.38776938413706,81.29814632448449,82.29598660072294,81.07502391048908,82.51008199051431,83.7183791175917,84.1682689825561,83.62735319316101,80.00176924826353,81.41540084020507,81.38678000542855,82.47752217721427,83.60819611617951,84.8118918465276,85.94588037994336,85.04601870288796,82.5713671290261,79.1533634232449,81.37499150157528,81.27949271278406,82.3688802470364,87.34841822670607,86.07048067384807,84.93493852080756,83.67706620893804
7,78.06762378956213,79.11645742326873,80.17853390588576,88.46281908990024,87.29744728079923,86.00653181123572,87.2387443887074,85.94972867039499,81.38678000542862,86.11290862743266,84.87178702555946,84.89534465263694,84.82444420373349,83.4788233589843,82.37559613505682,82.47752217721434,83.71837911759178,84.83856067210684,83.61902431688,82.54833924510889,83.65374756891079,83.78130321976315,84.73388362256846,83.7183791175918,82.93167899321988,84.91822372687427,85.86688720366149,87.29744728079915,88.46281908990015,82.47752217721435,81.38678000542863,80.41825333010371,84.79519992134628,86.30187292624362,84.73388362256844,86.11290862743256,81.29814632448448,83.6755590245714,83.61500726817232,84.83856067210674,83.7183791175917,83.12917709969591,82.38776938413706,81.29814632448449,82.31359289435976,81.25286526035589,82.51008199051431,83.7183791175917,84.1682689825561,83.62735319316101,81.47945482068414,81.41540084020507,81.38678000542855,82.47752217721427,83.60819611617951,84.8118918465276,85.94588037994336,85.04601870288796,82.5713671290261,79.1533634232449,81.37499150157528,81.27949271278406,82.3688802470364,87.34841822670607,86.07048067384807,84.93493852080756,83.67706620893804
